,Amagervaerket 4,Anholt,Avedoerevaerket 1,Avedoerevaerket 2,DK_KF_AB_GU,Esbjergvaerket 3,Fynsvaerket 7,Horns Rev A,Horns Rev B,Horns Rev C,Kyndbyvaerket 21,Kyndbyvaerket 22,Nordjyllandsvaerket 3,Roedsand 1,Roedsand 2,Silkeborgvaerket,Skaerbaekvaerket 3,Solar Park Gedmosen,Solar Park Holsted,Solar Park Kassoe,Studstrupvaerket 3,Studstrupvaerket 4,Vesterhav Nord,Vesterhav Syd
,Biomass,Wind Offshore,Biomass,Biomass,Wind Offshore,Fossil Hard coal,Fossil Hard coal,Wind Offshore,Wind Offshore,Wind Offshore,Fossil Oil,Fossil Oil,Fossil Hard coal,Wind Offshore,Wind Offshore,Fossil Gas,Biomass,Solar,Solar,Solar,Biomass,Fossil Hard coal,Wind Offshore,Wind Offshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
,45W000000000113T,45W000000000046I,45W000000000029I,45W000000000030X,45W000000000126K,45W000000000040U,45W000000000035N,45W000000000047G,45W000000000048E,45W000000000116N,45W000000000026O,45W000000000027M,45W000000000038H,45W000000000044M,45W000000000045K,45W000000000099Y,45W000000000031V,45W000000000210V,45W000000000214N,45W000000000209G,45W000000000036L,45W000000000037J,45W000000000208I,45W000000000207K
2025-01-01 00:00:00+01:00,20.0,401.0,133.0,3.0,576.0,1.0,0.0,147.0,179.0,319.0,1.0,0.0,3.0,150.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 01:00:00+01:00,18.0,401.0,139.0,3.0,338.0,1.0,0.0,142.0,183.0,191.0,1.0,0.0,3.0,3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 02:00:00+01:00,18.0,401.0,153.0,3.0,9.0,1.0,0.0,0.0,174.0,60.0,1.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 03:00:00+01:00,19.0,401.0,145.0,3.0,8.0,1.0,0.0,8.0,150.0,60.0,1.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 04:00:00+01:00,19.0,401.0,151.0,3.0,198.0,1.0,0.0,145.0,159.0,60.0,1.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 05:00:00+01:00,19.0,401.0,124.0,3.0,198.0,1.0,0.0,139.0,143.0,69.0,1.0,0.0,3.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 06:00:00+01:00,19.0,401.0,123.0,3.0,207.0,1.0,0.0,141.0,101.0,322.0,1.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 07:00:00+01:00,19.0,401.0,140.0,3.0,357.0,1.0,0.0,141.0,143.0,321.0,1.0,0.0,3.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,176.0,159.0
2025-01-01 08:00:00+01:00,19.0,401.0,173.0,3.0,588.0,1.0,0.0,145.0,142.0,322.0,1.0,0.0,3.0,102.0,168.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,176.0,159.0
